,0
732,0
733,1
734,2
735,0
736,0
737,1
738,0
739,0
740,1
741,2
742,0
743,1
744,0
745,2
746,1
747,0
748,1
749,0
750,1
751,1
752,1
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,1
762,0
763,0
764,0
765,2
766,0
767,0
768,1
769,1
770,1
771,2
772,0
773,1
774,0
775,2
776,0
777,1
778,0
779,0
780,0
781,2
782,2
783,2
784,1
785,2
786,2
787,2
788,1
789,0
790,0
791,1
792,1
793,1
794,0
795,0
796,1
797,0
798,1
799,2
800,0
801,0
802,2
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,2
815,2
816,2
817,0
818,0
819,1
820,0
821,0
822,1
823,2
824,1
825,0
826,1
827,2
828,2
829,1
830,1
831,1
832,0
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,1
841,2
842,2
843,0
844,0
845,1
846,0
847,2
848,0
849,0
850,0
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,2
859,1
860,1
861,0
862,1
863,0
864,1
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,0
873,0
874,1
875,1
876,1
877,1
878,2
879,0
880,0
881,1
882,1
883,1
884,1
885,0
886,1
887,0
888,1
889,1
890,1
891,2
892,0
893,1
894,1
895,2
896,1
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,2
905,0
906,0
907,0
908,1
909,0
910,0
911,1
912,1
913,0
914,1
915,2
916,1
917,1
918,1
919,0
920,1
921,0
922,1
923,2
924,1
925,2
926,0
927,0
928,1
929,2
930,1
931,0
932,1
933,2
934,1
935,1
936,2
937,1
938,1
939,1
940,0
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,0
949,0
950,2
951,2
952,1
953,2
954,0
955,0
956,1
957,1
958,1
959,0
960,1
961,1
962,1
963,2
964,0
965,1
966,1
967,2
968,1
969,2
970,1
971,0
972,1
973,2
974,0
975,1
976,0
977,1
978,0
979,0
980,1
981,2
982,0
983,0
984,1
985,1
986,0
987,0
988,2
989,0
990,0
991,1
992,1
993,0
994,1
995,1
996,2
997,1
998,0
999,1
1000,2
1001,2
1002,0
1003,0
1004,1
1005,2
1006,0
1007,0
1008,1
1009,2
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,2
1017,1
1018,0
1019,0
1020,2
1021,1
1022,2
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,2
1033,2
1034,1
1035,1
1036,1
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,2
1045,2
1046,1
1047,1
1048,0
1049,1
1050,0
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,2
1062,0
1063,0
1064,0
1065,2
1066,0
1067,1
1068,1
1069,2
1070,1
1071,0
1072,1
1073,2
1074,2
1075,0
1076,2
1077,1
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,2
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,2
1110,0
1111,2
1112,0
1113,1
1114,0
1115,0
1116,2
1117,0
1118,1
1119,1
1120,0
1121,0
1122,2
1123,0
1124,0
1125,0
1126,2
1127,1
1128,2
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,0
1138,1
1139,2
1140,1
1141,1
1142,0
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,2
1154,0
1155,0
1156,0
1157,2
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,2
1165,0
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,2
1177,2
1178,1
1179,1
1180,0
1181,1
1182,1
1183,2
1184,0
1185,1
1186,0
1187,2
1188,2
1189,1
1190,1
1191,2
1192,1
1193,2
1194,0
1195,0
1196,1
1197,1
1198,1
1199,2
1200,1
1201,0
1202,2
1203,0
1204,0
1205,1
1206,0
1207,2
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,2
1222,0
1223,0
1224,1
1225,0
1226,1
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,0
1239,0
1240,2
1241,0
1242,2
1243,0
1244,0
1245,1
1246,1
1247,0
1248,1
1249,2
1250,1
1251,1
1252,1
1253,2
1254,2
1255,0
1256,2
1257,0
1258,1
1259,0
1260,1
1261,1
1262,2
1263,0
1264,1
1265,1
1266,0
1267,1
1268,0
1269,2
1270,1
1271,0
1272,1
1273,0
1274,1
1275,0
1276,0
1277,0
1278,1
1279,2
1280,2
1281,1
1282,1
1283,2
1284,1
1285,2
1286,1
1287,1
1288,2
1289,0
1290,1
1291,0
1292,1
1293,0
1294,1
1295,0
1296,1
1297,1
1298,0
1299,0
1300,1
1301,2
1302,2
1303,0
1304,1
1305,0
1306,0
1307,1
1308,1
1309,1
1310,0
1311,0
1312,2
1313,2
1314,2
1315,0
1316,1
1317,1
1318,1
1319,0
1320,2
1321,0
1322,2
1323,1
1324,1
1325,0
1326,0
1327,1
1328,0
1329,1
1330,2
1331,1
1332,2
1333,2
1334,0
1335,1
1336,1
1337,0
1338,0
1339,0
1340,0
1341,1
1342,1
1343,0
1344,2
1345,0
1346,2
1347,1
1348,2
1349,1
1350,0
1351,1
1352,2
1353,2
1354,1
1355,0
1356,1
1357,1
1358,0
1359,1
1360,0
1361,0
1362,0
1363,1
1364,1
1365,2
1366,1
1367,0
1368,2
1369,2
1370,0
1371,0
1372,0
1373,1
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,1
1381,1
1382,2
1383,0
1384,0
1385,1
1386,1
1387,0
1388,0
1389,2
1390,0
1391,0
1392,1
1393,2
1394,2
1395,1
1396,1
1397,1
1398,1
1399,0
1400,1
1401,0
1402,1
1403,1
1404,1
1405,0
1406,0
1407,1
1408,2
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,0
1418,2
1419,2
1420,1
1421,0
1422,1
1423,0
1424,1
1425,1
1426,1
1427,2
1428,1
1429,1
1430,2
1431,1
1432,1
1433,0
1434,1
1435,1
1436,1
1437,2
1438,1
1439,1
1440,0
1441,2
1442,2
1443,1
1444,1
1445,2
1446,2
1447,2
1448,1
1449,1
1450,2
1451,0
1452,2
1453,0
1454,1
1455,2
1456,0
1457,1
1458,0
1459,1
1460,0
1461,0
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,0
1469,1
1470,1
1471,2
1472,0
1473,0
1474,1
1475,2
1476,2
1477,2
1478,1
1479,0
1480,1
1481,0
1482,2
1483,1
1484,0
1485,0
1486,1
1487,1
1488,2
1489,1
1490,2
1491,2
1492,1
1493,2
1494,1
1495,1
1496,1
1497,1
1498,0
1499,1
1500,1
1501,0
1502,0
1503,0
1504,0
1505,0
1506,2
1507,0
1508,2
1509,1
1510,0
1511,1
1512,1
1513,1
1514,0
1515,0
1516,1
1517,1
1518,0
1519,1
1520,1
1521,0
1522,0
1523,1
1524,2
1525,1
1526,0
1527,0
1528,2
1529,1
1530,0
1531,1
1532,1
1533,0
1534,0
1535,1
1536,0
1537,2
1538,0
1539,1
1540,2
1541,1
1542,0
1543,0
1544,2
1545,1
1546,2
1547,1
1548,0
1549,0
1550,1
1551,2
1552,1
1553,2
1554,0
1555,0
1556,1
1557,2
1558,1
1559,1
1560,1
1561,1
1562,0
1563,0
1564,2
1565,0
1566,2
1567,1
1568,1
1569,0
1570,1
1571,1
1572,1
1573,2
1574,1
1575,1
1576,2
1577,1
1578,0
1579,0
1580,1
1581,1
1582,0
1583,0
1584,1
1585,1
1586,2
1587,0
1588,1
1589,1
1590,1
1591,2
1592,2
1593,0
1594,2
1595,2
1596,0
1597,2
1598,2
1599,0
1600,1
1601,1
1602,0
1603,1
1604,0
1605,1
1606,1
1607,2
1608,2
1609,2
1610,0
1611,1
1612,0
1613,1
1614,1
1615,1
1616,1
1617,0
1618,1
1619,1
1620,2
1621,0
1622,1
1623,1
1624,2
1625,2
1626,0
1627,2
1628,1
1629,0
1630,1
1631,1
1632,0
1633,0
1634,1
1635,1
1636,1
1637,0
1638,0
1639,2
1640,2
1641,0
1642,1
1643,0
1644,0
1645,1
1646,0
1647,0
1648,0
1649,0
1650,0
1651,1
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,0
1659,2
1660,0
1661,0
1662,1
1663,0
1664,0
1665,1
1666,2
1667,0
1668,2
1669,0
1670,2
1671,1
1672,0
1673,1
1674,1
1675,1
1676,1
1677,0
1678,2
1679,2
1680,1
1681,1
1682,1
1683,2
1684,1
1685,1
1686,0
1687,2
1688,0
1689,1
1690,0
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,2
1699,1
1700,0
1701,2
1702,1
1703,0
1704,2
1705,0
1706,1
1707,2
1708,0
1709,1
1710,2
1711,0
1712,0
1713,1
1714,0
1715,2
1716,1
1717,0
1718,1
1719,0
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,0
1727,1
1728,1
1729,1
1730,1
1731,2
1732,0
1733,1
1734,1
1735,2
1736,1
1737,1
1738,0
1739,0
1740,2
1741,1
1742,2
1743,0
1744,0
1745,1
1746,0
1747,1
1748,0
1749,1
1750,0
1751,0
1752,0
1753,0
1754,0
1755,2
1756,0
1757,0
1758,2
1759,1
1760,0
1761,1
1762,2
1763,0
1764,1
1765,0
1766,1
1767,1
1768,2
1769,1
1770,0
1771,0
1772,1
1773,0
1774,0
1775,0
1776,0
1777,1
1778,2
1779,0
1780,0
1781,2
1782,0
1783,0
1784,2
1785,1
1786,0
1787,1
1788,1
1789,0
1790,0
1791,1
1792,2
1793,0
1794,0
1795,1
1796,0
1797,0
1798,2
1799,1
1800,0
1801,1
1802,1
1803,1
1804,1
1805,2
1806,1
1807,1
1808,1
1809,2
1810,0
1811,2
1812,2
1813,2
1814,0
1815,0
1816,1
1817,0
1818,0
1819,1
1820,1
1821,0
1822,1
1823,1
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,1
1831,0
1832,0
1833,1
1834,1
1835,1
1836,1
1837,0
1838,2
1839,0
1840,0
1841,1
1842,0
1843,2
1844,2
1845,1
1846,0
1847,2
1848,0
1849,2
1850,1
1851,0
1852,2
1853,1
1854,0
1855,0
1856,0
1857,0
1858,1
1859,0
1860,1
1861,2
1862,2
1863,1
1864,1
1865,1
1866,1
1867,2
1868,2
1869,1
1870,0
1871,1
1872,2
1873,0
1874,1
1875,0
1876,2
1877,1
1878,1
1879,0
1880,0
1881,2
1882,1
1883,0
1884,1
1885,0
1886,1
1887,0
1888,1
1889,1
1890,0
1891,1
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,1
1900,1
1901,0
1902,1
1903,0
1904,0
1905,0
1906,0
1907,1
1908,0
1909,1
1910,1
1911,0
1912,2
1913,1
1914,1
1915,1
1916,0
1917,1
1918,0
1919,1
1920,1
1921,0
1922,1
1923,2
1924,1
1925,2
1926,2
1927,0
1928,1
1929,0
1930,2
1931,2
1932,1
1933,1
1934,2
1935,2
1936,0
1937,1
1938,1
1939,1
1940,1
1941,1
1942,0
1943,0
1944,2
1945,1
1946,0
1947,2
1948,1
1949,2
1950,1
1951,0
1952,0
1953,0
1954,0
1955,2
1956,1
1957,0
1958,0
1959,1
1960,1
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,1
1970,0
1971,1
1972,1
1973,0
1974,1
1975,2
1976,0
1977,0
1978,1
1979,1
1980,1
1981,1
1982,0
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,2
1990,1
1991,0
1992,2
1993,2
1994,1
1995,0
1996,0
1997,2
1998,1
1999,0
2000,1
2001,1
2002,0
2003,0
2004,2
2005,0
2006,0
2007,0
2008,1
2009,0
2010,1
2011,0
2012,0
2013,0
2014,0
2015,1
2016,1
2017,0
2018,1
2019,1
2020,1
2021,0
2022,2
2023,0
2024,1
2025,1
2026,1
2027,0
2028,1
2029,1
2030,0
2031,2
2032,1
2033,1
2034,1
2035,0
2036,2
2037,1
2038,2
2039,0
2040,1
2041,0
2042,1
2043,0
2044,1
2045,1
2046,0
2047,2
2048,0
2049,1
2050,0
2051,1
2052,1
2053,1
2054,0
2055,1
2056,1
2057,0
2058,0
2059,1
2060,2
2061,1
2062,1
2063,1
2064,1
2065,1
2066,0
2067,1
2068,2
2069,0
2070,1
2071,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,1
2078,1
2079,0
2080,1
2081,0
2082,1
2083,0
2084,0
2085,2
2086,1
2087,0
2088,2
2089,1
2090,0
2091,1
2092,0
2093,0
2094,1
2095,1
2096,1
2097,1
2098,2
2099,0
2100,0
2101,0
2102,1
2103,2
2104,0
2105,1
2106,1
2107,1
2108,0
2109,0
2110,0
2111,1
2112,0
2113,2
2114,1
2115,0
2116,0
2117,1
2118,1
2119,0
2120,1
2121,1
2122,0
2123,2
2124,1
2125,2
2126,1
2127,1
2128,0
2129,1
2130,0
2131,2
2132,2
2133,2
2134,1
2135,0
2136,1
2137,0
2138,1
2139,0
2140,1
2141,1
2142,1
2143,1
2144,0
2145,0
2146,2
2147,0
2148,1
2149,0
2150,2
2151,1
2152,2
2153,0
2154,1
2155,0
2156,0
2157,0
2158,1
2159,0
2160,1
2161,1
2162,0
2163,1
2164,1
2165,1
2166,1
2167,1
2168,2
2169,1
2170,0
2171,0
2172,1
2173,1
2174,1
2175,2
2176,2
2177,0
2178,1
2179,0
2180,1
2181,0
2182,0
2183,1
2184,0
2185,1
2186,0
2187,1
2188,0
2189,1
2190,1
2191,0
2192,0
2193,2
2194,0
2195,1
2196,0
2197,1
2198,0
2199,0
2200,2
2201,0
2202,0
2203,2
2204,1
2205,1
2206,0
2207,0
2208,1
2209,0
2210,2
2211,0
2212,0
2213,0
2214,2
2215,0
2216,0
2217,0
2218,1
2219,0
2220,0
2221,2
2222,1
2223,2
2224,1
2225,1
2226,2
2227,0
2228,1
2229,0
2230,0
2231,2
2232,0
2233,0
2234,1
2235,1
2236,0
2237,2
2238,0
2239,2
2240,2
2241,1
2242,0
2243,1
2244,1
2245,1
2246,2
2247,2
2248,1
2249,2
2250,0
2251,2
2252,2
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,0
2260,0
2261,1
2262,0
2263,0
2264,2
2265,1
2266,0
2267,1
2268,1
2269,0
2270,1
2271,1
2272,1
2273,1
2274,0
2275,1
2276,1
2277,0
2278,1
2279,1
2280,1
2281,2
2282,0
2283,1
2284,1
2285,0
2286,0
2287,0
2288,0
2289,1
2290,1
2291,0
2292,2
2293,0
2294,1
2295,0
2296,1
2297,2
2298,1
2299,2
2300,0
2301,0
2302,0
2303,0
2304,1
2305,0
2306,0
2307,1
2308,2
2309,1
2310,2
2311,1
2312,0
2313,1
2314,0
2315,2
2316,1
2317,0
2318,2
2319,0
2320,2
2321,0
2322,1
2323,0
2324,1
2325,2
2326,0
2327,1
2328,0
2329,2
2330,2
2331,1
2332,0
2333,2
2334,1
2335,1
2336,0
2337,1
2338,2
2339,1
2340,0
2341,0
2342,0
2343,0
2344,1
2345,0
2346,0
2347,1
2348,0
2349,2
2350,0
2351,2
2352,1
2353,0
2354,0
2355,1
2356,2
2357,0
2358,1
2359,1
2360,2
2361,0
2362,1
2363,2
2364,1
2365,1
2366,2
2367,1
2368,0
2369,0
2370,1
2371,0
2372,1
2373,0
2374,1
2375,0
2376,2
2377,1
2378,1
2379,0
2380,1
2381,1
2382,2
2383,1
2384,2
2385,1
2386,0
2387,0
2388,0
2389,1
2390,0
2391,0
2392,2
2393,0
2394,1
2395,2
2396,1
2397,0
2398,1
2399,0
2400,2
2401,1
2402,2
2403,1
2404,1
2405,2
2406,0
2407,2
2408,0
2409,1
2410,0
2411,2
2412,2
2413,0
2414,0
2415,1
2416,1
2417,1
2418,0
2419,1
2420,0
2421,2
2422,2
2423,1
2424,1
2425,2
2426,1
2427,1
2428,0
2429,1
2430,2
2431,1
2432,1
2433,2
2434,0
2435,0
2436,2
2437,1
2438,1
2439,0
2440,1
2441,0
2442,0
2443,2
2444,1
2445,0
2446,1
2447,1
2448,2
2449,1
2450,0
2451,0
2452,1
2453,1
2454,1
2455,0
2456,1
2457,2
2458,0
2459,1
2460,0
2461,1
2462,2
2463,0
2464,0
2465,1
2466,1
2467,0
2468,1
2469,1
2470,1
2471,1
2472,0
2473,0
2474,0
2475,2
2476,1
2477,0
2478,0
2479,0
2480,0
2481,1
2482,1
2483,1
2484,2
2485,0
2486,1
2487,0
2488,0
2489,1
2490,0
2491,2
2492,2
2493,1
2494,2
2495,0
2496,2
2497,1
2498,1
2499,0
2500,1
2501,1
2502,0
2503,1
2504,0
2505,0
2506,1
2507,0
2508,1
2509,2
2510,1
2511,0
2512,1
2513,1
2514,1
2515,1
2516,0
2517,1
2518,0
2519,2
2520,0
2521,2
2522,0
2523,1
2524,0
2525,1
2526,0
2527,0
2528,0
2529,0
2530,2
2531,1
2532,2
2533,0
2534,1
2535,1
2536,1
2537,0
2538,1
2539,1
2540,0
2541,0
2542,1
2543,0
2544,0
2545,1
2546,1
2547,1
2548,2
2549,0
2550,0
2551,1
2552,2
2553,1
2554,2
2555,0
2556,1
2557,0
2558,0
2559,2
2560,0
2561,2
2562,2
2563,1
2564,1
2565,0
2566,2
2567,2
2568,2
2569,2
2570,2
2571,2
2572,1
2573,1
2574,0
2575,2
2576,0
2577,0
2578,2
2579,2
2580,2
2581,1
2582,0
2583,0
2584,2
2585,0
2586,1
2587,2
2588,0
2589,2
2590,1
2591,0
2592,1
2593,0
2594,0
2595,2
2596,1
2597,0
2598,1
2599,1
2600,2
2601,1
2602,2
2603,1
2604,0
2605,0
2606,0
2607,0
2608,1
2609,2
2610,0
2611,0
2612,0
2613,0
2614,1
2615,2
2616,1
2617,2
2618,0
2619,1
2620,0
2621,0
2622,0
2623,1
2624,0
2625,0
2626,1
2627,0
2628,2
2629,1
2630,0
2631,2
2632,2
2633,2
2634,2
2635,0
2636,0
2637,0
2638,0
2639,0
2640,1
2641,1
2642,0
2643,0
2644,1
2645,1
2646,1
2647,1
2648,0
2649,2
2650,0
2651,0
2652,1
2653,1
2654,2
2655,0
2656,0
2657,2
2658,1
2659,2
2660,1
2661,1
2662,1
2663,2
2664,2
2665,2
2666,0
2667,1
2668,1
2669,1
2670,1
2671,0
2672,0
2673,1
2674,1
2675,0
2676,2
2677,0
2678,0
2679,0
2680,1
2681,2
2682,2
2683,1
2684,1
2685,2
2686,2
2687,1
2688,1
2689,0
2690,1
2691,0
2692,0
2693,1
2694,2
2695,1
2696,0
2697,0
2698,1
2699,1
2700,2
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,0
2708,2
2709,0
2710,0
2711,1
2712,1
2713,2
2714,0
2715,1
2716,2
2717,2
2718,2
2719,1
2720,1
2721,1
2722,0
2723,2
2724,1
2725,0
2726,1
2727,1
2728,1
2729,2
2730,1
2731,1
2732,1
2733,1
2734,1
2735,0
2736,0
2737,0
2738,1
2739,0
2740,2
2741,1
2742,1
2743,2
2744,1
2745,1
2746,0
2747,0
2748,1
2749,2
2750,0
2751,0
2752,1
2753,0
2754,2
2755,0
2756,0
2757,1
2758,0
2759,2
2760,2
2761,1
2762,1
2763,0
2764,1
2765,1
2766,2
2767,2
2768,1
2769,1
2770,1
2771,0
2772,1
2773,2
2774,1
2775,2
2776,1
2777,2
2778,1
2779,0
2780,0
2781,2
2782,2
2783,2
2784,0
2785,0
2786,2
2787,1
2788,1
2789,1
2790,0
2791,2
2792,2
2793,0
2794,2
2795,1
2796,2
2797,2
2798,0
2799,1
2800,1
2801,1
2802,1
2803,1
2804,1
2805,1
2806,0
2807,0
2808,0
2809,2
2810,2
2811,0
2812,0
2813,0
2814,1
2815,2
2816,2
2817,0
2818,1
2819,2
2820,0
2821,2
2822,1
2823,0
2824,1
2825,1
2826,1
2827,2
2828,2
2829,2
2830,2
2831,0
2832,0
2833,1
2834,0
2835,1
2836,1
2837,1
2838,2
2839,0
2840,0
2841,2
2842,0
2843,2
2844,0
2845,0
2846,0
2847,2
2848,1
2849,0
2850,2
2851,0
2852,0
2853,2
2854,1
2855,0
2856,1
2857,0
2858,1
2859,0
2860,0
2861,1
2862,1
2863,1
2864,0
2865,1
2866,0
2867,2
2868,1
2869,1
2870,1
2871,1
2872,2
2873,0
2874,0
2875,0
2876,0
2877,1
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,1
2885,1
2886,1
2887,1
2888,2
2889,0
2890,0
2891,1
2892,0
2893,1
2894,1
2895,1
2896,1
2897,1
2898,2
2899,1
2900,0
2901,0
2902,0
2903,1
2904,2
2905,0
2906,0
2907,1
2908,2
2909,2
2910,1
2911,0
2912,1
2913,1
2914,0
2915,0
2916,0
2917,1
2918,0
2919,0
2920,1
2921,1
2922,1
2923,0
2924,0
2925,1
2926,1
2927,0
2928,2
2929,0
2930,2
2931,2
2932,0
2933,0
2934,0
2935,2
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,0
2944,2
2945,0
2946,1
2947,1
2948,2
2949,2
2950,0
2951,2
2952,2
2953,1
2954,2
2955,0
2956,0
2957,0
2958,2
2959,1
2960,0
2961,1
2962,2
2963,1
2964,1
2965,2
2966,0
2967,0
2968,1
2969,1
2970,0
2971,0
2972,0
2973,0
2974,1
2975,1
2976,0
2977,1
2978,1
2979,1
2980,0
2981,1
2982,1
2983,1
2984,1
2985,1
2986,0
2987,1
2988,0
2989,0
2990,1
2991,1
2992,0
2993,0
2994,1
2995,2
2996,1
2997,2
